Algorithm,DataType,DataSize,Time_ms,Comparisons,Verified
Radix+Quick Sort,Sorted,2400,7.044800,36788,true
Merge Sort,Reverse Sorted,2400,2.473600,32707,true
Quick Sort,Reverse Sorted,2400,8.481600,71660,true
Radix Sort,Reverse Sorted,2400,3.212000,11323,true
Radix+Quick Sort,Reverse Sorted,2400,7.043800,36995,true
Merge Sort,Almost Sorted,2400,3.165600,53101,true
Quick Sort,Almost Sorted,2400,8.698000,73076,true
Radix Sort,Almost Sorted,2400,3.124600,11293,true
Radix+Quick Sort,Almost Sorted,2400,6.979600,37059,true
Merge Sort,Common Prefix,2400,5.824600,177799,true
Quick Sort,Common Prefix,2400,12.891000,228716,true
Radix Sort,Common Prefix,2400,4.892200,35308,true
Radix+Quick Sort,Common Prefix,2400,9.646800,114222,true
Merge Sort,Random,2500,3.732400,60749,true
Quick Sort,Random,2500,9.224200,77457,true
Radix Sort,Random,2500,3.360200,11794,true
Radix+Quick Sort,Random,2500,7.316000,39272,true
Merge Sort,Sorted,2500,2.377800,37506,true
Quick Sort,Sorted,2500,8.990200,75335,true
Radix Sort,Sorted,2500,3.373000,11880,true
Radix+Quick Sort,Sorted,2500,7.445600,39102,true
Merge Sort,Reverse Sorted,2500,2.591000,34259,true
Quick Sort,Reverse Sorted,2500,9.106200,74148,true
Radix Sort,Reverse Sorted,2500,3.412000,11832,true
Radix+Quick Sort,Reverse Sorted,2500,7.395600,39363,true
Merge Sort,Almost Sorted,2500,3.329400,55795,true
Quick Sort,Almost Sorted,2500,9.023200,75799,true
Radix Sort,Almost Sorted,2500,3.429800,11870,true
Radix+Quick Sort,Almost Sorted,2500,7.345800,38683,true
Merge Sort,Common Prefix,2500,6.145200,186306,true
Quick Sort,Common Prefix,2500,12.057600,235581,true
Radix Sort,Common Prefix,2500,5.380400,36829,true
Radix+Quick Sort,Common Prefix,2500,10.180400,119025,true
Merge Sort,Random,2600,3.915200,63668,true
Quick Sort,Random,2600,9.459400,80239,true
Radix Sort,Random,2600,3.560600,12321,true
Radix+Quick Sort,Random,2600,7.754200,41129,true
Merge Sort,Sorted,2600,2.529800,39298,true
Quick Sort,Sorted,2600,9.308400,79997,true
Radix Sort,Sorted,2600,3.426400,12342,true
Radix+Quick Sort,Sorted,2600,7.608600,41165,true
Merge Sort,Reverse Sorted,2600,2.582200,35887,true
Quick Sort,Reverse Sorted,2600,9.242400,76986,true
Radix Sort,Reverse Sorted,2600,3.600000,12358,true
Radix+Quick Sort,Reverse Sorted,2600,7.660200,41194,true
Merge Sort,Almost Sorted,2600,3.461600,58205,true
